mydoc: _id: ObjectId, Sensor No, Temp, Time, Clock
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba48f'), 'Sensor No': '1', 'Temp': '24.7647', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba490'), 'Sensor No': '2', 'Temp': '25.0867', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba491'), 'Sensor No': '3', 'Temp': '25.4702', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba492'), 'Sensor No': '4', 'Temp': '25.3217', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba493'), 'Sensor No': '5', 'Temp': '25.3181', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba494'), 'Sensor No': '6', 'Temp': '25.0583', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba495'), 'Sensor No': '7', 'Temp': '23.9694', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba496'), 'Sensor No': '8', 'Temp': '24.4984', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba497'), 'Sensor No': '9', 'Temp': '23.9063', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba498'), 'Sensor No': '10', 'Temp': '24.4707', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba499'), 'Sensor No': '11', 'Temp': '24.9867', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba49a'), 'Sensor No': '12', 'Temp': '24.8481', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba49b'), 'Sensor No': '13', 'Temp': '24.7093', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba49c'), 'Sensor No': '14', 'Temp': '24.5181', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba49d'), 'Sensor No': '15', 'Temp': '24.4357', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba49e'), 'Sensor No': '16', 'Temp': '24.8134', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba49f'), 'Sensor No': '17', 'Temp': '24.7212', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4a0'), 'Sensor No': '18', 'Temp': '24.5988', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4a1'), 'Sensor No': '19', 'Temp': '23.7248', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4a2'), 'Sensor No': '20', 'Temp': '24.0245', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4a3'), 'Sensor No': '21', 'Temp': '23.8236', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4a4'), 'Sensor No': '22', 'Temp': '24.0658', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4a5'), 'Sensor No': '23', 'Temp': '23.8799', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4a6'), 'Sensor No': '24', 'Temp': '23.8817', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4a7'), 'Sensor No': '25', 'Temp': '24.1557', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4a8'), 'Sensor No': '26', 'Temp': '23.9963', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4a9'), 'Sensor No': '27', 'Temp': '23.7442', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4aa'), 'Sensor No': '28', 'Temp': '24.1953', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4ab'), 'Sensor No': '29', 'Temp': '24.3444', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4ac'), 'Sensor No': '30', 'Temp': '23.9733', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4ad'), 'Sensor No': '31', 'Temp': '24.6008', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4ae'), 'Sensor No': '32', 'Temp': '24.2553', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4af'), 'Sensor No': '33', 'Temp': '24.3061', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4b0'), 'Sensor No': '34', 'Temp': '24.2605', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4b1'), 'Sensor No': '35', 'Temp': '24.0122', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4b2'), 'Sensor No': '36', 'Temp': '23.6789', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4b3'), 'Sensor No': '37', 'Temp': '23.9118', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4b4'), 'Sensor No': '38', 'Temp': '24.0495', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4b5'), 'Sensor No': '39', 'Temp': '24.3664', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4b6'), 'Sensor No': '40', 'Temp': '23.4329', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4b7'), 'Sensor No': '41', 'Temp': '23.5795', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4b8'), 'Sensor No': '42', 'Temp': '23.4154', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4b9'), 'Sensor No': '43', 'Temp': '22.8207', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4ba'), 'Sensor No': '44', 'Temp': '22.4726', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4bb'), 'Sensor No': '45', 'Temp': '23.0869', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4bc'), 'Sensor No': '46', 'Temp': '22.9316', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4bd'), 'Sensor No': '47', 'Temp': '23.2136', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4be'), 'Sensor No': '48', 'Temp': '22.4751', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4bf'), 'Sensor No': '49', 'Temp': '22.9717', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab35abd9743e9edffba4c0'), 'Sensor No': '50', 'Temp': '22.6126', 'Time': '05/24/2021, 08:12:11'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa838'), 'Sensor No': '1', 'Temp': '24.9687', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa839'), 'Sensor No': '2', 'Temp': '25.0867', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa83a'), 'Sensor No': '3', 'Temp': '25.4702', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa83b'), 'Sensor No': '4', 'Temp': '25.3217', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa83c'), 'Sensor No': '5', 'Temp': '25.4765', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa83d'), 'Sensor No': '6', 'Temp': '25.2915', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa83e'), 'Sensor No': '7', 'Temp': '23.9694', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa83f'), 'Sensor No': '8', 'Temp': '24.4216', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa840'), 'Sensor No': '9', 'Temp': '23.8493', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa841'), 'Sensor No': '10', 'Temp': '24.4707', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa842'), 'Sensor No': '11', 'Temp': '24.9867', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa843'), 'Sensor No': '12', 'Temp': '24.8481', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa844'), 'Sensor No': '13', 'Temp': '24.7463', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa845'), 'Sensor No': '14', 'Temp': '24.4476', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa846'), 'Sensor No': '15', 'Temp': '24.4357', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa847'), 'Sensor No': '16', 'Temp': '24.8134', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa848'), 'Sensor No': '17', 'Temp': '24.7212', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa849'), 'Sensor No': '18', 'Temp': '24.7382', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa84a'), 'Sensor No': '19', 'Temp': '23.7133', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa84b'), 'Sensor No': '20', 'Temp': '24.0222', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa84c'), 'Sensor No': '21', 'Temp': '23.8236', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa84d'), 'Sensor No': '22', 'Temp': '24.0645', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa84e'), 'Sensor No': '23', 'Temp': '23.8699', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa84f'), 'Sensor No': '24', 'Temp': '23.9644', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa850'), 'Sensor No': '25', 'Temp': '24.1157', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa851'), 'Sensor No': '26', 'Temp': '23.9963', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa852'), 'Sensor No': '27', 'Temp': '23.7442', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa853'), 'Sensor No': '28', 'Temp': '24.1953', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa854'), 'Sensor No': '29', 'Temp': '24.3444', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa855'), 'Sensor No': '30', 'Temp': '23.9484', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa856'), 'Sensor No': '31', 'Temp': '24.6008', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa857'), 'Sensor No': '32', 'Temp': '24.2553', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa858'), 'Sensor No': '33', 'Temp': '24.3061', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa859'), 'Sensor No': '34', 'Temp': '24.265', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa85a'), 'Sensor No': '35', 'Temp': '24.0122', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa85b'), 'Sensor No': '36', 'Temp': '23.6789', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa85c'), 'Sensor No': '37', 'Temp': '23.9118', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa85d'), 'Sensor No': '38', 'Temp': '24.0495', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa85e'), 'Sensor No': '39', 'Temp': '24.3664', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa85f'), 'Sensor No': '40', 'Temp': '23.4343', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa860'), 'Sensor No': '41', 'Temp': '23.5795', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa861'), 'Sensor No': '42', 'Temp': '23.4081', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa862'), 'Sensor No': '43', 'Temp': '22.8207', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa863'), 'Sensor No': '44', 'Temp': '22.4726', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa864'), 'Sensor No': '45', 'Temp': '23.1134', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa865'), 'Sensor No': '46', 'Temp': '22.992', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa866'), 'Sensor No': '47', 'Temp': '23.2878', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa867'), 'Sensor No': '48', 'Temp': '22.4751', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa868'), 'Sensor No': '49', 'Temp': '22.9724', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab383ef721abc41a3aa869'), 'Sensor No': '50', 'Temp': '22.6126', 'Time': '05/24/2021, 08:23:10'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720c5'), 'Sensor No': '1', 'Temp': '24.9687', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720c6'), 'Sensor No': '2', 'Temp': '25.0867', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720c7'), 'Sensor No': '3', 'Temp': '25.4702', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720c8'), 'Sensor No': '4', 'Temp': '25.4515', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720c9'), 'Sensor No': '5', 'Temp': '25.4765', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720ca'), 'Sensor No': '6', 'Temp': '25.2915', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720cb'), 'Sensor No': '7', 'Temp': '23.9694', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720cc'), 'Sensor No': '8', 'Temp': '24.4216', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720cd'), 'Sensor No': '9', 'Temp': '23.8493', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720ce'), 'Sensor No': '10', 'Temp': '24.4707', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720cf'), 'Sensor No': '11', 'Temp': '24.9867', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d0'), 'Sensor No': '12', 'Temp': '24.8481', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d1'), 'Sensor No': '13', 'Temp': '24.7463', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d2'), 'Sensor No': '14', 'Temp': '24.4476', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d3'), 'Sensor No': '15', 'Temp': '24.4357', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d4'), 'Sensor No': '16', 'Temp': '24.8134', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d5'), 'Sensor No': '17', 'Temp': '24.7212', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d6'), 'Sensor No': '18', 'Temp': '24.7382', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d7'), 'Sensor No': '19', 'Temp': '23.7133', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d8'), 'Sensor No': '20', 'Temp': '24.02', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720d9'), 'Sensor No': '21', 'Temp': '23.8236', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720da'), 'Sensor No': '22', 'Temp': '24.065', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720db'), 'Sensor No': '23', 'Temp': '23.899', 'Time': '05/24/2021, 08:23:37'}
mydoc: {'_id': ObjectId('60ab385948d9f4b482c720dc'), 'Sensor No': '24', 'Temp': '23.9644', 'Time': '05/24/2021, 08:23:37'}
